Id,SalePrice_pred
1461,119559.54
1462,147800.44
1463,169161.82
1464,182140.98
1465,194200.94
1466,170408.67
1467,178644.32
1468,159370.3
1469,206868.54
1470,116291.49
1471,182701.23
1472,99659.22
1473,91423.18
1474,142903.48
1475,109262.67
1476,358916.92
1477,252108.02
1478,320770.65
1479,303141.11
1480,444881.04
1481,311515.08
1482,213385.15
1483,176142.95
1484,161687.57
1485,199725.88
1486,200296.22
1487,322214.73
1488,232735.21
1489,189744.22
1490,248380.13
1491,199612.77
1492,95939.59
1493,210979.17
1494,300757.49
1495,285005.76
1496,235473.68
1497,171912.45
1498,153525.28
1499,155894.94
1500,146227.02
1501,188529.11
1502,145448.11
1503,269196.47
1504,239323.23
1505,221105.16
1506,182800.35
1507,245597.49
1508,188956.36
1509,160758.49
1510,139725.85
1511,144130.76
1512,179067.11
1513,160776.24
1514,148789.13
1515,194777.39
1516,163488.0
1517,166933.45
1518,123537.89
1519,212540.99
1520,122797.3
1521,121340.66
1522,193109.63
1523,96951.39
1524,120624.95
1525,113074.05
1526,93971.18
1527,95435.26
1528,144835.05
1529,150630.73
1530,214595.96
1531,123188.39
1532,105542.16
1533,153694.95
1534,121865.72
1535,153665.31
1536,101905.46
1537,34332.42
1538,161500.43
1539,207278.4
1540,131774.95
1541,131419.1
1542,146900.06
1543,176591.16
1544,91385.52
1545,127690.4
1546,142597.7
1547,139327.59
1548,143019.7
1549,119573.4
1550,139446.31
1551,118042.69
1552,150668.41
1553,156824.31
1554,124062.46
1555,156489.24
1556,83452.44
1557,94067.73
1558,96449.02
1559,88759.77
1560,138210.4
1561,113983.96
1562,127630.84
1563,119414.61
1564,142543.08
1565,147846.49
1566,246384.6
1567,76633.87
1568,229646.69
1569,111113.5
1570,147361.13
1571,103869.63
1572,144600.32
1573,242778.64
1574,122639.04
1575,246982.15
1576,233142.04
1577,178508.88
1578,137001.86
1579,140690.83
1580,191308.91
1581,160074.31
1582,134011.48
1583,271022.8
1584,228872.26
1585,146869.33
1586,43279.16
1587,113424.23
1588,166881.45
1589,104125.4
1590,131326.03
1591,90562.57
1592,118355.29
1593,136384.7
1594,134814.27
1595,115420.89
1596,222558.48
1597,190026.42
1598,215195.06
1599,205627.41
1600,176245.54
1601,38201.54
1602,123335.0
1603,85485.71
1604,293560.98
1605,240654.66
1606,155161.26
1607,162596.32
1608,211768.42
1609,183331.31
1610,152524.91
1611,132654.35
1612,188480.76
1613,161797.55
1614,149027.57
1615,87799.85
1616,71193.69
1617,81904.16
1618,117654.12
1619,154586.8
1620,156419.79
1621,131378.54
1622,145244.82
1623,263435.7
1624,209934.59
1625,110614.45
1626,173891.21
1627,183930.74
1628,283884.31
1629,176695.67
1630,320855.72
1631,219144.99
1632,227290.9
1633,188389.2
1634,186403.24
1635,175525.08
1636,148646.71
1637,182361.41
1638,201085.92
1639,182558.07
1640,246572.95
1641,182562.05
1642,256884.03
1643,226789.45
1644,228215.03
1645,212223.8
1646,159481.77
1647,161596.61
1648,124661.9
1649,129592.7
1650,118514.83
1651,117810.35
1652,103011.79
1653,105887.8
1654,143527.62
1655,132016.79
1656,132242.82
1657,144529.33
1658,146385.88
1659,118819.76
1660,143235.55
1661,408933.83
1662,369676.4
1663,371922.39
1664,456803.93
1665,332728.06
1666,327567.06
1667,360308.87
1668,352728.82
1669,322709.26
1670,356857.67
1671,262150.33
1672,392968.61
1673,290809.46
1674,253763.8
1675,201755.33
1676,197534.5
1677,214143.81
1678,448685.16
1679,376506.22
1680,323099.54
1681,284687.16
1682,322812.92
1683,198296.23
1684,187039.58
1685,181962.09
1686,166609.75
1687,190833.47
1688,192362.82
1689,202636.58
1690,199892.5
1691,192783.85
1692,275102.34
1693,191991.98
1694,180583.24
1695,177818.81
1696,261646.09
1697,185295.43
1698,328134.06
1699,309456.23
1700,267107.86
1701,278845.53
1702,246624.29
1703,242520.2
1704,266780.08
1705,257908.54
1706,402788.82
1707,232148.41
1708,202322.81
1709,252732.6
1710,216054.17
1711,275414.9
1712,244075.21
1713,269507.03
1714,221550.09
1715,207125.33
1716,184857.14
1717,184317.08
1718,145093.83
1719,229023.87
1720,239773.58
1721,180701.25
1722,136156.24
1723,161740.21
1724,203591.89
1725,230223.76
1726,189824.21
1727,140538.34
1728,194403.27
1729,157431.73
1730,168605.42
1731,128585.33
1732,132128.49
1733,109980.61
1734,112536.56
1735,139769.73
1736,109889.4
1737,292287.48
1738,255159.01
1739,259011.97
1740,197815.76
1741,183284.94
1742,170341.13
1743,175206.48
1744,322493.55
1745,226530.77
1746,238502.97
1747,219116.85
1748,233176.89
1749,143883.31
1750,140537.98
1751,241330.28
1752,109421.12
1753,148034.38
1754,201816.3
1755,159799.39
1756,126284.01
1757,113059.03
1758,147343.33
1759,163374.36
1760,163859.81
1761,151017.64
1762,185420.7
1763,197725.17
1764,109029.35
1765,194946.05
1766,190215.33
1767,213893.13
1768,141281.06
1769,160830.92
1770,154751.64
1771,127161.31
1772,132522.48
1773,112907.05
1774,145910.69
1775,133662.17
1776,137669.22
1777,108659.44
1778,139716.06
1779,119078.2
1780,186138.28
1781,124104.87
1782,66029.37
1783,139663.91
1784,93252.21
1785,136028.53
1786,155504.65
1787,175907.69
1788,46821.55
1789,103087.49
1790,44645.04
1791,211073.7
1792,162013.34
1793,132657.39
1794,165873.1
1795,126904.03
1796,146825.41
1797,138367.31
1798,123210.43
1799,106037.75
1800,136709.15
1801,114210.28
1802,148102.44
1803,162434.38
1804,115674.39
1805,137998.2
1806,127300.27
1807,155922.83
1808,123715.62
1809,125629.83
1810,146599.06
1811,100684.92
1812,106147.92
1813,119352.1
1814,87627.48
1815,34103.93
1816,96308.52
1817,110177.63
1818,169482.33
1819,134194.87
1820,49866.04
1821,124337.77
1822,157453.6
1823,39765.59
1824,147339.83
1825,146829.68
1826,102004.42
1827,100722.77
1828,129534.05
1829,147672.0
1830,145577.22
1831,151854.94
1832,76290.36
1833,152103.19
1834,117600.24
1835,110894.33
1836,127405.11
1837,76915.25
1838,111774.08
1839,105411.08
1840,149854.81
1841,128409.14
1842,88413.43
1843,121230.66
1844,148998.35
1845,155532.76
1846,150255.49
1847,186700.93
1848,30537.73
1849,121280.16
1850,111859.35
1851,141303.62
1852,120486.43
1853,116305.59
1854,168109.5
1855,152597.65
1856,224729.1
1857,140496.81
1858,162033.14
1859,123164.68
1860,146293.21
1861,121996.89
1862,298786.55
1863,297281.5
1864,297295.72
1865,354956.16
1866,351068.24
1867,225844.29
1868,282920.66
1869,209013.78
1870,221564.36
1871,271181.77
1872,182351.7
1873,226589.98
1874,150990.2
1875,203892.08
1876,190766.95
1877,203853.24
1878,204678.63
1879,117565.84
1880,131846.45
1881,236894.21
1882,242188.22
1883,193934.99
1884,204033.49
1885,253822.0
1886,289585.02
1887,221029.39
1888,258986.48
1889,174976.81
1890,105738.02
1891,146698.58
1892,86855.57
1893,129083.15
1894,115159.15
1895,132002.43
1896,119200.44
1897,97130.93
1898,111582.54
1899,165981.5
1900,158034.51
1901,168596.06
1902,161504.09
1903,228137.82
1904,164920.19
1905,202243.51
1906,154460.32
1907,218002.68
1908,119004.86
1909,152897.8
1910,129809.38
1911,227789.01
1912,296342.95
1913,163425.55
1914,65342.59
1915,327071.95
1916,33069.58
1917,248178.68
1918,140191.31
1919,165164.22
1920,153969.26
1921,379002.22
1922,342095.15
1923,222828.69
1924,213801.74
1925,212644.69
1926,372842.02
1927,125245.52
1928,150235.22
1929,113981.2
1930,136555.52
1931,133488.99
1932,133105.96
1933,196569.74
1934,176959.35
1935,165812.76
1936,199676.78
1937,173632.53
1938,167944.45
1939,253629.85
1940,198234.97
1941,167738.6
1942,178170.48
1943,224010.05
1944,359968.61
1945,377558.44
1946,131665.73
1947,325864.15
1948,156389.09
1949,244016.48
1950,193175.13
1951,235623.18
1952,207388.63
1953,175357.61
1954,191690.59
1955,127590.21
1956,272172.67
